state,fips,population
13,13213,39358
13,13215,200303
13,13217,103901
13,13219,35071
25,25019,10694
25,25021,691218
25,25023,506657
25,25025,767719
25,25027,813589
26,26001,10461
26,26003,9396
26,26005,113666
26,26007,28929
26,26009,23215
26,26011,15327
26,26013,8612
26,26015,59316
26,26017,106107
26,26019,17462
26,26021,155134
26,26023,43603
26,26025,134691
26,26027,51795
26,26029,26172
26,26031,25579
26,26033,38330
26,26035,30608
26,26037,77245
26,26039,13840
26,26041,36570
26,26043,25889
26,26045,108544
26,26047,33091
26,26049,413090
26,26051,25367
26,26053,15650
26,26055,90715
26,26057,41676
26,26059,46024
26,26061,36565
26,26063,32021
26,26065,284559
26,26067,64126
26,26069,25373
26,26071,11393
26,26073,70574
26,26075,159483
26,26077,258605
26,26079,17259
26,26081,629352
26,26085,11415
26,26087,88310
26,26089,21764
26,26091,98673
26,26093,185841
26,26095,6451
26,26097,10998
26,26099,859703
26,26101,24465
26,26103,67418
26,26105,28755
26,26107,43259
26,26109,23568
26,26111,83559
26,26113,15032
26,26115,149945
26,26117,62922
26,26119,9317
26,26121,172148
26,26123,47957
26,26125,1235215
26,26127,26152
26,26129,21103
26,26131,6165
26,26133,23172
26,26135,8374
26,26137,24198
26,26139,276583
26,26141,12955
26,26143,23900
26,26145,195201
26,26147,160069
26,26149,60923
26,26151,41761
26,26153,8186
26,26155,68800
26,26157,54014
26,26159,75216
26,26161,358082
26,26163,1767593
26,26165,32829
27,27001,15722
27,27003,341249
27,27005,33375
27,27007,45644
27,27009,39457
27,27011,5098
27,27013,65524
27,27015,25327
27,27017,35482
27,27019,97143
27,27021,28633
27,27023,12126
27,27025,54041
27,27027,61402
27,27029,8764
27,27031,5215
27,27033,11557
27,27035,63321
27,27037,411402
27,27039,20361
27,27041,36862
27,27043,14119
27,27045,20877
27,27047,30751
27,27049,46450
27,27051,5943
27,27053,1209265
27,27055,18791
27,27057,20640
27,27059,38461
27,27061,45356
27,27063,10163
27,27065,15918
27,27067,42510
27,27071,12930
27,27073,6916
27,27075,10721
27,27079,27650
27,27081,5793
27,27083,25670
27,27085,35926
27,27087,5480
27,27089,9406
27,27091,20193
27,27093,23094
27,27095,25788
27,27097,32850
27,27099,39248
27,27101,8463
27,27103,33226
27,27105,21729
27,27107,6638
27,27109,150104
27,27111,57694
27,27113,14156
27,27115,29067
27,27117,9285
27,27119,31550
27,27121,10975
27,27123,531528
27,27127,15578
27,27129,14995
27,27131,65116
27,27133,9554
27,27135,15609
27,27137,200353
27,27139,139490
27,27141,91188
27,27143,14957
27,27145,153661
27,27147,36541
27,27149,9762
27,27151,9483
27,27153,24335
27,27157,21327
27,27159,13755
27,27161,19034
27,27163,248745
27,27165,10996
27,27167,6479
27,27169,51145
27,27171,129922
27,27173,10038
28,28001,31747
28,28003,37309
28,28005,12692
28,28007,19085
28,28009,8378
28,28011,33615
28,28013,14724
28,28015,10301
28,28017,17357
28,28019,8320
28,28021,9209
28,28023,16203
28,28025,20147
28,28027,24804
28,28029,28780
28,28031,19503
28,28033,170890
28,28035,76274
28,28037,7818
28,28039,23313
28,28041,13941
28,28043,21518
28,28045,46028
28,28047,198570
28,28049,244596
28,28051,18547
28,28053,8822
28,28057,23511
28,28059,140850
28,28061,16538
28,28063,7528
28,28065,11771
28,28067,68313
28,28069,10128
28,28071,52193
28,28073,59623
28,28075,79233
28,28077,12603
28,28079,23011
28,28081,85281
28,28083,30500
28,28085,34691
28,28087,59785
28,28089,101791
28,28091,25810
28,28093,36196
28,28095,36029
28,28097,10353
28,28099,29474
28,28101,21652
28,28103,11098
28,28105,49424
28,28107,34319
28,28109,55167
28,28111,12174
28,28113,39939
28,28115,30862
28,28117,25339
28,28119,7634
28,28121,147930
28,28123,28268
28,28127,27279
28,28129,16137
28,28131,17995
28,28133,27424
28,28135,14776
28,28137,28338
28,28139,22061
28,28141,19503
28,28143,10407
28,28145,27989
28,28147,14812
28,28149,47834
28,28151,48824
31,31051,5809
31,31053,36679
31,31055,543253
31,31059,5676
31,31067,21778
31,31079,61105
31,31081,9118
31,31089,10360
31,31093,6365
31,31095,7354
31,31097,5167
31,31099,6548
31,31101,8103
31,31107,8551
31,31109,301707
31,31111,35777
31,31119,35125
31,31121,7793
31,31127,7101
31,31131,15890
31,31137,9236
31,31139,7179
31,31141,32703
31,31143,5242
31,31145,10884
31,31147,8149
31,31151,14356
31,31153,172460
31,31155,20946
31,31157,36599
31,31159,17113
31,31161,5259
31,31167,6022
31,31169,5163
31,31173,6989
31,31177,20338
31,31179,9414
31,31185,13842
32,32001,24148
32,32003,2070153
32,32005,47426
32,32007,52029
32,32013,17091
32,32015,5907
32,32017,5155
32,32019,51897
32,32023,43198
32,32027,6690
32,32031,439914
32,32033,9893
32,32510,54412
33,33001,60392
33,33003,47416
33,33005,76320
33,33007,32219
33,33009,89164
33,33011,404948
33,33013,147715
33,33015,300365
33,33017,125913
33,33019,43051
34,34001,274026
34,34003,930310
34,34005,450236
34,34007,511145
34,34009,95404
34,34011,155744
34,34013,792586
34,34015,291286
34,34017,668526
34,34019,125708
34,34021,371101
34,34023,831852
34,34025,627532
34,34027,498215
34,34029,586166
34,34031,507204
34,34033,64504
34,34035,331686
34,34037,144694
34,34039,550436
34,34041,107095
28,28153,20517
28,28155,9922
28,28157,9233
28,28159,18519
28,28161,12380
28,28163,27719
29,29001,25547
29,29003,17347
29,29005,5380
29,29007,25868
29,29009,35716
29,29011,12075
29,29013,16513
29,29015,18825
29,29017,12282
29,29019,172773
29,29021,89415
29,29023,42887
29,29025,9057
29,29027,44693
29,29029,44152
29,29031,78089
29,29033,9009
29,29035,6249
29,29037,101324
29,29039,13932
29,29041,7615
29,29043,82053
29,29045,6860
29,29047,233135
29,29049,20494
29,29051,76603
29,29053,17613
29,29055,24545
29,29057,7590
29,29059,16508
29,29061,8257
29,29063,12706
29,29065,15578
29,29067,13467
29,29069,31271
29,29071,102063
29,29073,14875
29,29075,6745
29,29077,285449
29,29079,10231
29,29081,8649
29,29083,21930
29,29085,9267
29,29089,10148
29,29091,40265
29,29093,10220
29,29095,683643
29,29097,117376
29,29099,222453
29,29101,54229
29,29105,35505
29,29107,32789
29,29109,38204
29,29111,10146
29,29113,54286
29,29115,12319
29,29117,15057
29,29119,22720
29,29121,15399
29,29123,12403
29,29125,8987
29,29127,28858
29,29131,25011
29,29133,14112
29,29135,15840
29,29137,8642
29,29139,11820
29,29141,20182
29,29143,18229
29,29145,58741
29,29147,23026
29,29149,10922
29,29151,13704
29,29153,9450
29,29155,17599
29,29157,19152
29,29159,42193
29,29161,44833
29,29163,18475
29,29165,94970
29,29167,31113
29,29169,53302
29,29173,10225
29,29175,25081
29,29177,22921
29,29179,6530
29,29181,13936
29,29183,379856
29,29185,9444
29,29186,17937
29,29187,66230
29,29189,1000560
29,29195,23214
29,29201,38994
29,29203,8256
29,29205,6148
29,29207,29788
29,29209,31197
29,29211,6416
29,29213,53853
29,29215,25690
29,29217,20836
29,29219,33290
29,29221,25002
29,29223,13341
29,29225,37075
29,29229,18378
29,29510,316030
30,30001,9317
30,30003,13214
30,30005,6609
30,30007,5692
30,30009,10340
30,30013,82049
30,30015,5837
30,30017,11980
30,30021,9431
30,30023,9176
30,30027,11429
30,30029,94696
30,30031,97958
30,30035,13695
30,30041,16529
30,30043,11601
30,30047,29311
30,30049,65989
30,30053,19268
30,30057,7810
30,30063,113101
30,30067,15843
30,30073,6166
30,30077,6928
30,30081,41130
30,30083,11392
30,30085,11230
30,30087,9348
30,30089,11375
30,30093,34560
30,30095,9342
30,30099,6067
30,30101,5114
30,30105,7576
30,30111,155344
31,31001,31536
31,31003,6421
31,31011,5353
31,31013,11279
31,31019,48402
31,31021,6594
31,31023,8205
31,31025,25463
31,31027,8657
31,31031,5781
31,31033,10090
31,31035,6313
31,31037,10499
31,31039,9055
31,31041,10784
31,31043,20697
31,31045,9082
31,31047,23924
22,22065,11803
22,22067,26739
22,22069,39258
22,22071,382922
22,22073,156398
22,22075,23584
22,22077,22366
22,22079,132373
22,22081,8757
22,22083,20692
22,22085,24144
22,22087,44091
22,22089,52708
22,22091,10714
22,22093,21581
22,22095,43888
22,22097,83699
22,22099,53385
22,22101,53053
22,22103,246269
22,22105,127115
22,22109,113099
22,22111,22460
22,22113,59524
22,22115,52101
22,22117,46367
22,22119,40335
22,22121,25017
22,22123,11370
22,22125,15384
22,22127,14695
23,23001,107376
23,23003,69405
23,23005,288204
23,23007,30270
23,23009,54483
23,23011,120953
23,23013,39717
23,23015,34165
23,23017,57299
23,23019,152978
23,23021,17044
23,23023,35134
23,23025,51363
23,23027,39071
23,23029,31925
23,23031,200536
24,24001,73060
24,24003,559737
24,24005,825666
24,24009,90527
24,24011,32653
24,24013,167535
24,24015,102175
24,24017,154357
24,24019,32451
24,24021,243465
24,24023,29677
24,24025,249776
24,24027,308447
24,24029,19819
24,24031,1026371
24,24033,897693
24,24035,48712
24,24037,110675
24,24039,25899
24,24041,37668
24,24043,149571
24,24045,101527
24,24047,51441
24,24510,621000
25,25001,214703
25,25003,128563
25,25005,554868
25,25007,17137
25,25009,769362
25,25011,70916
25,25013,468072
25,25015,161035
25,25017,1567610
36,36115,62465
36,36117,91874
36,36119,969229
36,36121,41239
36,36123,25106
37,37001,156372
37,37003,37211
37,37005,10868
37,37007,25883
37,37009,26992
37,37011,17633
37,37013,47513
37,37015,20324
37,37017,34454
37,37019,119167
37,37021,250112
37,37023,89082
37,37025,192296
37,37027,81623
37,37029,10228
37,37031,68537
37,37033,23094
37,37035,155461
37,37037,68778
37,37039,27226
37,37041,14556
37,37043,10730
37,37045,97113
37,37047,57015
37,37049,104190
37,37051,325841
37,37053,24864
37,37055,35187
37,37057,164058
37,37059,41568
37,37061,59121
37,37063,294618
37,37065,54669
37,37067,364691
37,37069,62989
37,37071,211753
37,37073,11615
37,37075,8651
37,37077,58341
37,37079,21241
37,37081,511815
37,37083,52849
37,37085,126620
37,37087,59577
37,37089,110905
37,37091,24285
37,37093,51853
37,37095,5629
37,37097,167493
37,37099,41227
37,37101,182155
37,37103,10074
37,37105,59540
37,37107,58343
37,37109,79783
37,37111,45013
37,37113,33991
37,37115,21130
37,37117,23510
37,37119,1011774
37,37121,15263
37,37123,27475
37,37125,93070
37,37127,94385
37,37129,216430
37,37131,20628
37,37133,185755
37,37135,139807
37,37137,12892
37,37139,39909
37,37141,56358
37,37143,13470
37,37145,39196
37,37147,175150
37,37149,20324
37,37151,142588
37,37153,45710
37,37155,134576
37,37157,91898
37,37159,138694
37,37161,66701
37,37163,63713
37,37165,35711
37,37167,60610
37,37169,46453
37,37171,72767
37,37173,14234
37,37175,33062
37,37179,217614
37,37181,44508
